Weather_years_2022,wind_cf_epsi,wind_cf_eq
1990,0.25455393611976956,0.2647797809839928
1991,0.22516960900495922,0.2351919363524822
1992,0.2437983841788111,0.25462867229105823
1993,0.23982916165212936,0.2493250108874204
1994,0.24960581215995029,0.26038333625636256
1995,0.23964632077788456,0.248905951527951
1996,0.21079348265962775,0.21908566461095927
1997,0.21986301826969767,0.2286667711639396
1998,0.2574840141996374,0.2688425704928652
1999,0.23752207071408613,0.24754160948192194
2000,0.24108692380481983,0.2500019808439645
2001,0.2220356594831852,0.2309494296919543
2002,0.22969410836381216,0.2380605581126482
2003,0.20505467737322833,0.2134614872477624
2004,0.22883935712578876,0.23930639343198465
2005,0.2221901103709862,0.2310340868154557
2006,0.2215633968948811,0.2312569595998427
2007,0.25083084546886253,0.26050460970673794
2008,0.239802996861377,0.2499413510641848
2009,0.22162849072545932,0.23154755342552197
2010,0.20855552637589178,0.21692605487945943
2011,0.24102558922020859,0.24764187143904803
2012,0.23375699937864564,0.2390623138204243
2013,0.22200070727214247,0.22703807826648245
2014,0.2227726307658555,0.22700364810889773
2015,0.24344264907334676,0.25018098851992865
2016,0.21079256113240627,0.21566753406757655
2017,0.23603346599241837,0.24272981156437068
2018,0.2199867332991795,0.2237953839613506
2019,0.2360029952560181,0.2417236120211696
